experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,1,5,-2.0799999999999996,7.488230765674893,-1.0,0.0,5,5
tiger,0.9,1,5,250,1,6,-2.8000000000000003,7.493997598078078,3.2,4.874423042781576,5,5
tiger,0.9,1,5,250,1,7,-2.1399999999999997,7.491355017618642,-3.04,7.480534740244176,5,5
tiger,0.9,1,5,250,1,8,-2.5,7.5,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,1,9,-3.04,7.480534740244176,-1.9000000000000004,7.475961476626268,5,5
tiger,0.9,1,5,250,1,10,-2.0200000000000005,7.484624239065044,-2.1999999999999997,7.493997598078078,5,5
tiger,0.9,1,5,250,1,11,-2.44,7.499759996159876,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,1,12,-3.2800000000000002,7.4593297286016265,-1.7200000000000002,7.459329728601626,5,5
tiger,0.9,1,5,250,1,13,-1.0,0.0,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,1,14,1.9400000000000004,6.044534721548053,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,1,15,-2.0800000000000005,7.488230765674893,-3.4000000000000004,7.445804187594514,5,5
tiger,0.9,1,5,250,1,16,-2.9800000000000004,7.484624239065044,-2.9200000000000004,7.488230765674893,5,5
tiger,0.9,1,5,250,1,17,-2.68,7.497839688870388,-2.1999999999999997,7.493997598078078,5,5
tiger,0.9,1,5,250,1,18,-1.0,0.0,-1.7799999999999994,7.4653600047151105,5,5
tiger,0.9,1,5,250,1,19,1.88,6.088152429103594,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,1,20,-2.0800000000000005,7.488230765674893,-1.0,0.0,5,5
tiger,0.9,1,5,250,1,21,-3.880000000000001,7.371946825635682,3.38,4.655706176295922,5,5
tiger,0.9,1,5,250,1,22,-2.1399999999999997,7.491355017618642,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,1,23,-2.56,7.499759996159876,-2.68,7.497839688870388,5,5
tiger,0.9,1,5,250,1,24,-3.16,7.470903559811223,-2.0799999999999996,7.488230765674893,5,5
