experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,1,26,-1.0,0.0,-1.0,0.0,8,12.955207145378271,8.494076435182143
tiger,0.9,2,5,250,1,27,3.4400000000000004,4.578908166801339,2.24,5.81226289838992,8,15.960267559995135,8.915372685117664
tiger,0.9,2,5,250,1,28,-1.0,0.0,-1.0,0.0,8,12.86282192969419,8.541478508971398
tiger,0.9,2,5,250,1,29,-1.0,0.0,-1.0,0.0,8,12.039348382267256,8.534607380877794
tiger,0.9,2,5,250,1,30,-1.0,0.0,-1.78,7.465360004715111,10,12.627802125147294,9.043511492177721
tiger,0.9,2,5,250,1,31,3.7400000000000007,4.160817227420595,-1.0,0.0,8,14.689260438251296,8.56404218150157
tiger,0.9,2,5,250,1,32,-1.0,0.0,2.6,5.499090833947008,9,12.148072313003862,8.833091890728634
tiger,0.9,2,5,250,1,33,2.78,5.326499788791885,-3.1,7.475961476626268,8,15.791559294753435,8.487854691518613
tiger,0.9,2,5,250,1,34,-2.9800000000000004,7.484624239065044,-2.1399999999999997,7.491355017618642,8,12.125643452513643,9.408050150219843
tiger,0.9,2,5,250,1,35,-2.8,7.493997598078078,-1.0,0.0,8,12.12071311554996,8.487242583461146
tiger,0.9,2,5,250,1,36,-1.0,0.0,3.8000000000000003,4.069397989875162,8,12.085359822811586,8.774778977400132
tiger,0.9,2,5,250,1,37,3.3200000000000003,4.730496802662485,-1.7199999999999993,7.459329728601626,8,12.85752348858181,8.551231960219273
tiger,0.9,2,5,250,1,38,-1.0,0.0,-2.0800000000000005,7.488230765674893,10,13.019370648115492,9.257838653433911
tiger,0.9,2,5,250,1,39,2.3600000000000003,5.712302512997714,-1.0,0.0,8,13.515943924053774,8.802813851432688
tiger,0.9,2,5,250,1,40,-2.8000000000000003,7.493997598078078,-1.0,0.0,8,12.177607409735796,8.488943138925581
tiger,0.9,2,5,250,1,41,-1.0,0.0,-2.9200000000000004,7.488230765674893,9,12.63523264629454,9.451185353432102
tiger,0.9,2,5,250,1,42,-1.0,0.0,-1.0,0.0,8,13.615721456636443,8.501048082260452
tiger,0.9,2,5,250,1,43,4.279999999999999,3.2064934118129726,-1.0,0.0,8,14.914117259106648,8.550432780101236
tiger,0.9,2,5,250,1,44,-0.6399999999999997,7.265700241545889,-1.0,0.0,8,12.083791344365686,8.523861331718024
tiger,0.9,2,5,250,1,45,-1.0,0.0,2.12,5.908096140043763,9,12.132833770536873,9.408050150219843
tiger,0.9,2,5,250,1,46,2.3,5.762811813689564,-1.0,0.0,8,16.129310454564468,8.818123994815629
tiger,0.9,2,5,250,1,47,-1.0,0.0,3.4400000000000004,4.578908166801339,9,12.238028264954785,9.219996770062682
tiger,0.9,2,5,250,1,48,2.96,5.141828468550853,-2.68,7.497839688870388,8,15.652014340612322,8.603289056006345
tiger,0.9,2,5,250,1,49,-2.38,7.4990399385521345,-3.16,7.470903559811223,8,12.07447789018203,8.555763645594894
tiger,0.9,2,5,250,2,0,-1.0,0.0,-1.0,0.0,8,12.022820869380261,8.531587400076106
tiger,0.9,2,5,250,2,1,1.7599999999999998,6.172714151813609,2.420000000000001,5.6607066696659,8,15.952223259199869,9.012711185344134
tiger,0.9,2,5,250,2,2,-1.0,0.0,-1.0,0.0,8,12.030313172173273,8.504990845242654
tiger,0.9,2,5,250,2,3,2.72,5.385313361356051,2.6,5.499090833947008,8,12.120114788967037,8.7819848495885
tiger,0.9,2,5,250,2,4,-3.22,7.4653600047151105,-1.0,0.0,8,13.437784733103822,8.536267785747196
tiger,0.9,2,5,250,2,5,-1.2999999999999998,7.40337760755184,3.1399999999999997,4.943723293227484,8,12.070705550211638,8.813536791367778
tiger,0.9,2,5,250,2,6,-1.0,0.0,-1.9600000000000004,7.480534740244176,8,12.05242832769459,8.6779272157947
tiger,0.9,2,5,250,2,7,2.72,5.385313361356051,-1.0,0.0,8,15.441699981933876,8.50651794398292
tiger,0.9,2,5,250,2,8,-2.38,7.4990399385521345,2.6,5.499090833947008,8,12.540177786570005,8.889920517307981
