,experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
160,tiger,0.9,1,5,250,3,10,-1.0,0.0,-1.36,7.41285370151064,5,0,0
161,tiger,0.9,1,5,250,3,11,2.12,5.908096140043763,-1.6,7.445804187594514,5,0,0
162,tiger,0.9,1,5,250,3,12,-2.2,7.493997598078078,-2.8000000000000003,7.493997598078078,5,0,0
163,tiger,0.9,1,5,250,3,13,-3.58,7.421832657773955,-2.14,7.491355017618642,5,0,0
164,tiger,0.9,1,5,250,3,14,-1.54,7.438306258819948,-1.0,0.0,5,0,0
165,tiger,0.9,1,5,250,3,15,-2.44,7.499759996159876,2.06,5.954527689078287,5,0,0
166,tiger,0.9,1,5,250,3,16,-1.48,7.430316278598106,-3.04,7.480534740244176,5,0,0
167,tiger,0.9,1,5,250,3,17,-1.0,0.0,-3.7000000000000006,7.403377607551839,5,0,0
168,tiger,0.9,1,5,250,3,18,2.72,5.385313361356051,-1.0,0.0,5,0,0
169,tiger,0.9,1,5,250,3,19,-3.58,7.421832657773955,3.5000000000000004,4.5,5,0,0
170,tiger,0.9,1,5,250,3,20,-2.8600000000000003,7.491355017618642,-1.9000000000000004,7.475961476626268,5,0,0
171,tiger,0.9,1,5,250,3,21,-1.0,0.0,-1.66,7.452811550012519,5,0,0
172,tiger,0.9,1,5,250,3,22,2.72,5.385313361356051,-2.38,7.4990399385521345,5,0,0
173,tiger,0.9,1,5,250,3,23,-1.0,0.0,-2.62,7.4990399385521345,5,0,0
174,tiger,0.9,1,5,250,3,24,2.3000000000000007,5.762811813689564,-2.140000000000001,7.491355017618642,5,0,0
175,tiger,0.9,1,5,250,3,25,-1.7800000000000007,7.4653600047151105,-2.98,7.484624239065044,5,0,0
176,tiger,0.9,1,5,250,3,26,-1.48,7.430316278598106,-2.32,7.497839688870388,5,0,0
177,tiger,0.9,1,5,250,3,27,-2.0200000000000005,7.484624239065044,-2.0800000000000005,7.488230765674893,5,0,0
178,tiger,0.9,1,5,250,3,28,-2.5,7.5,-2.0800000000000005,7.488230765674893,5,0,0
179,tiger,0.9,1,5,250,3,29,-1.0,0.0,-1.7800000000000002,7.4653600047151105,5,0,0
180,tiger,0.9,1,5,250,3,30,3.08,5.011347124277064,-2.44,7.499759996159876,5,0,0
181,tiger,0.9,1,5,250,3,31,-1.0,0.0,-1.0,0.0,5,0,0
182,tiger,0.9,1,5,250,3,32,2.96,5.141828468550853,3.6800000000000006,4.2494234903101855,5,0,0
183,tiger,0.9,1,5,250,3,33,-3.4600000000000004,7.438306258819948,-2.38,7.4990399385521345,5,0,0
184,tiger,0.9,1,5,250,3,34,-2.5,7.5,-2.08,7.488230765674893,5,0,0
185,tiger,0.9,1,5,250,3,35,-1.0,0.0,-3.7000000000000006,7.403377607551839,5,0,0
186,tiger,0.9,1,5,250,3,36,3.2,4.874423042781576,-4.0600000000000005,7.335966194033339,5,0,0
187,tiger,0.9,1,5,250,3,37,-1.2400000000000002,7.393402464359694,-2.62,7.4990399385521345,5,0,0
188,tiger,0.9,1,5,250,3,38,-3.28,7.459329728601626,-1.66,7.452811550012519,5,0,0
189,tiger,0.9,1,5,250,3,39,-1.0,0.0,-2.0200000000000005,7.484624239065044,5,0,0
190,tiger,0.9,1,5,250,3,40,3.02,5.077361519529608,-1.0,0.0,5,0,0
191,tiger,0.9,1,5,250,3,41,-1.0,0.0,2.72,5.385313361356051,5,0,0
192,tiger,0.9,1,5,250,3,42,2.78,5.326499788791885,-1.9000000000000004,7.475961476626268,5,0,0
193,tiger,0.9,1,5,250,3,43,-1.3000000000000005,7.40337760755184,-2.26,7.496159016456361,5,0,0
194,tiger,0.9,1,5,250,3,44,-2.32,7.497839688870388,-2.8600000000000003,7.491355017618642,5,0,0
195,tiger,0.9,1,5,250,3,45,-1.3000000000000005,7.40337760755184,-2.44,7.499759996159876,5,0,0
196,tiger,0.9,1,5,250,3,46,-2.38,7.4990399385521345,-2.74,7.496159016456361,5,0,0
197,tiger,0.9,1,5,250,3,47,-1.9599999999999995,7.480534740244176,-1.8400000000000003,7.470903559811223,5,0,0
198,tiger,0.9,1,5,250,3,48,-2.08,7.488230765674893,-1.3600000000000003,7.41285370151064,5,0,0
